URL,Version,Status,OIDs,Name,Title,Descriptino,Used
http://fhir.cqgc.ferlab.bio/CodeSystem/analysis-request-code,0.1.0,draft,,analysis-request-code,Analysis request code,"Gene panel requested for analysis","ValueSet/analysis-request-code,ValueSet/sequencing-request-code"
http://fhir.cqgc.ferlab.bio/CodeSystem/bioinfo-analysis-code,0.1.0,draft,,bioinfo-analysis-code,Bioinformatic analysis codes,"Bioinformatic analysis code system","ValueSet/bioinfo-analysis-code"
http://fhir.cqgc.ferlab.bio/CodeSystem/cgh-abnormalities,0.1.0,draft,,cgh-abnormalities,CGH abnormalities,"CGH abnormalities","ValueSet/cgh-abnormalities"
http://fhir.cqgc.ferlab.bio/CodeSystem/data-category,0.1.0,draft,,data-category,Data categories,"Data categories","ValueSet/data-category"
http://fhir.cqgc.ferlab.bio/CodeSystem/data-type,0.1.0,draft,,data-type,Data types,"Data types","ValueSet/data-type"
http://fhir.cqgc.ferlab.bio/CodeSystem/disease-status,0.1.0,draft,,disease-status,Disease status,"Disease status","ValueSet/disease-status"
http://fhir.cqgc.ferlab.bio/CodeSystem/document-format,0.1.0,draft,,document-format,Document formats,"Document formats","ValueSet/document-format"
http://fhir.cqgc.ferlab.bio/CodeSystem/experimental-strategy,0.1.0,draft,,experimental-strategy,Experimental strategies,"Experimental strategies","ValueSet/experimental-strategy"
http://fhir.cqgc.ferlab.bio/CodeSystem/fmh-relationship-plus,0.1.0,draft,,fmh-relationship-plus,FMH relationship-plus,"The added values ​​(specific to our systems) which extend the CodeSystem provided by HL7","ValueSet/fmh-relationship"
http://fhir.cqgc.ferlab.bio/CodeSystem/genome-build,0.1.0,draft,,genome-build,Genome build,"Genome build","ValueSet/genome-build"
http://fhir.cqgc.ferlab.bio/CodeSystem/observation-code,0.1.0,draft,,observation-code,Observation codes,"Codes of observations in our system","ValueSet/mitn-default-exam,ValueSet/observation-code,ValueSet/mmg-default-exam"
http://fhir.cqgc.ferlab.bio/CodeSystem/organization-type-plus,0.1.0,draft,,organization-type-plus,Organization type-plus,"The added values ​​(specific to our systems) which extend the CodeSystem provided by HL7","ValueSet/organization-type"
http://fhir.cqgc.ferlab.bio/CodeSystem/qc-ethnicity,0.1.0,draft,,qc-ethnicity,Ethnicites in Quebec,"Classification of people living in Quebec in a named category of humans sharing a common history, geographic origin or nationality. The ethnic codes used to represent these concepts are based on a list provided by the genomic sequencing center","ValueSet/qc-ethnicity"
http://fhir.cqgc.ferlab.bio/CodeSystem/sequencing-request-code,0.1.0,draft,,sequencing-request-code,sequencing request codes,"Sequencing request codes","ValueSet/sequencing-request-code"
http://fhir.cqgc.ferlab.bio/CodeSystem/specimen-type,0.1.0,draft,,specimen-type,Specimen types,"Specimen types","ValueSet/specimen-type"
http://fhir.cqgc.ferlab.bio/CodeSystem/variant-type,0.1.0,draft,,variant-type,Variant types,"Variant types","ValueSet/variant-type"
http://terminology.hl7.org/CodeSystem/organization-type,0.1.0,draft,"2.16.840.1.113883.4.642.1.1128",OrganizationType,Organization type,"This example value set defines a set of codes that can be used to indicate a type of organization.","ValueSet/organization-type"
http://terminology.hl7.org/CodeSystem/v3-RoleCode,2.2.0,active,"2.16.840.1.113883.5.111",RoleCode,RoleCode,"A set of codes further specifying the kind of Role; specific classification codes for further qualifying RoleClass codes.","ValueSet/fmh-relationship,ValueSet/v3-FamilyMember"
